LGA_Name,X,Y,Address_Town,School_Name,School_No,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Total,School,Median_VCE_study_score,Percentage_of_study_scores_of_40_and_over,Percentage_of_VCE_students_applying_for_tertiary_places_through_the_Victorian_Tertiary_Admissions_Centre_(VTAC),Percentage_of_Vocational_Education_and_Training_(VET)_units_of_competency_completed,Number_of_students_awarded_the_VCE_Vocational_Major_(VM),Percentage_of_satisfactory_VCE_completions,Locality
Maribyrnong,144.847537,-37.778257,Braybrook,Braybrook College,7645,221.0,229.0,234.0,242.0,233.0,223.0,1382.0,Braybrook College,31,8.1,83,93,42,98,BRAYBROOK
Monash,145.1663432,-37.89950842,Glen Waverley,Brentwood Secondary College,7647,228.0,280.0,268.0,283.0,230.2,265.0,1554.2,Brentwood Secondary College,30,5.9,83,87,15,100,GLEN WAVERLEY
Bayside,145.019119,-37.920156,Brighton East,Brighton Secondary College,7650,112.0,139.4,135.0,145.3,172.8,159.6,864.1,Brighton Secondary College,30,6.3,85,89,4,99,BRIGHTON EAST
Mitchell,145.040033,-37.204375,Broadford,Broadford Secondary College,7655,152.0,147.0,156.0,153.0,134.0,87.8,829.8,Broadford Secondary College,22,0.7,54,62,27,98,BROADFORD
Moonee Valley,144.897755,-37.747117,Essendon,Buckley Park College,7670,194.0,136.0,143.0,129.0,136.0,164.8,902.8,Buckley Park College,29,5.7,83,63,8,99,ESSENDON
Boroondara,145.072821,-37.830151,Canterbury,Camberwell High School,7680,88.4,124.0,141.0,147.0,141.9,164.8,807.1,Camberwell High School,30,8.5,82,89,10,92,CANTERBURY
Glenelg,141.387493,-37.588796,Casterton,Casterton Secondary College,7695,24.0,21.0,17.0,18.0,15.9,10.9,106.8,Casterton Secondary College,28,0.0,56,100,< 4,100,CASTERTON
Kingston,145.068676,-37.953762,Cheltenham,Cheltenham Secondary College,7720,96.0,117.0,116.0,141.0,172.0,126.0,768.0,Cheltenham Secondary College,28,2.1,74,74,16,99,CHELTENHAM
Moira,145.654121,-35.913605,Cobram,Cobram Secondary College,7725,92.0,97.0,81.0,97.0,63.4,33.4,463.8,Cobram Secondary College,24,0.9,43,69,8,98,COBRAM
Gannawarra,144.226425,-35.813503,Cohuna,Cohuna Secondary College,7735,38.0,34.0,40.0,23.0,28.6,23.6,187.2,Cohuna Secondary College,28,4.2,67,82,< 4,100,COHUNA
Casey,145.286136,-38.107591,Cranbourne,Cranbourne Secondary College,7747,167.0,178.0,184.0,184.0,210.0,216.0,1139.0,Cranbourne Secondary College,24,0.3,67,87,68,97,CRANBOURNE
Maroondah,145.281261,-37.78935,Croydon,Croydon Community School,7757,19.0,24.0,21.0,32.0,39.0,14.0,149.0,Croydon Community School,-,-,9,87,9,82,CROYDON
